C1,Data,Palettes,Pivot field names,key
C4,#8ad2f1,P3,Disturbing3,acjjzgte
C4,#8ad2f1,P4,Serious3,acjjzgte
C4,#23bf0c,P1,Trustworthy1,acjl
C4,#23bf0c,P4,Trustworthy1,acjl
C4,#32bff2,P3,Trustworthy1,adwfemsg
C4,#32bff2,P4,Playful2,adwfemsg
C4,#32bff2,P5,Positive2,adwfemsg
C4,#32bff2,P5,Serious3,adwfemsg
C4,#335671,P4,Negative1,bcde
C5,#30355f,P4,Negative1,agtnmib
C1,#845145,P4,Negative2,abeorvgn
C2,#51692b,P4,Negative2,agy
C4,#83b3e3,P4,Playful3,aeghdclv
C4,#423fa8,P1,Trustworthy3,bcd
C4,#423fa8,P3,Disturbing2,bcd
C4,#423fa8,P3,Trustworthy3,bcd
C4,#423fa8,P5,Trustworthy3,bcd
C4,#0572cd,P4,Disturbing3,afk
C4,#863e85,P2,Exciting1,afvtqju
C3,#9796bb,P4,Negative2,abhi
C4,#83b3e3,P4,Negative2,aeghdclv
C4,#9796bb,P2,Playful3,abhi
C4,#9796bb,P3,Exciting2,abhi
C4,#9796bb,P4,Exciting3,abhi
C4,#9796bb,P5,Trustworthy1,abhi
C4,#30355f,P5,Disturbing2,agtnmib
C4,#51692b,P1,Playful3,agy
C4,#51692b,P5,Positive3,agy
C4,#69301d,P3,Serious1,aaznxc
C4,#116160,P4,Exciting2,aifhj
C4,#335671,P1,Serious2,bcde
C4,#335671,P4,Calm3,bcde
C4,#845145,P1,Calm2,abeorvgn
C2,#69301d,P4,Disturbing1,aaznxc
C4,#845145,P3,Calm2,abeorvgn
C3,#3c3c3c,P4,Disturbing1,aax
C4,#845145,P4,Calm2,abeorvgn
C4,#845145,P4,Disturbing1,abeorvgn
C4,#845145,P4,Serious1,abeorvgn
C5,#f9468c,P4,Negative2,anau
C4,#899390,P2,Calm2,amyedqd
C4,#899390,P2,Disturbing2,amyedqd
C4,#899390,P2,Serious1,amyedqd
C4,#899390,P2,Serious2,amyedqd
C4,#899390,P2,Trustworthy2,amyedqd
C4,#899390,P3,Trustworthy2,amyedqd
C4,#899390,P4,Disturbing2,amyedqd
C1,#30355f,P4,Negative3,agtnmib
C4,#920000,P1,Serious1,ah
C4,#a5b34b,P2,Exciting2,ajoiowx
C4,#a5b34b,P5,Serious1,ajoiowx
C4,#a857aa,P2,Calm1,ajuwmntr
C4,#aad2e0,P1,Exciting1,akdzf
C4,#aad2e0,P3,Calm1,akdzf
C4,#add9a1,P1,Disturbing3,akiq
C2,#335671,P4,Negative3,bcde
C4,#add9a1,P5,Disturbing3,akiq
C4,#b7de55,P3,Playful2,akosuvre
C4,#b7de55,P4,Positive1,akosuvre
C4,#b7de55,P5,Positive1,akosuvre
C5,#a5b34b,P4,Disturbing1,ajoiowx
C3,#116160,P4,Negative3,aifhj
C4,#c91e11,P2,Playful2,al
C4,#d4d4d4,P3,Exciting3,aici
C4,#d4d4d4,P3,Positive3,aici
C4,#d4d4d4,P5,Playful3,aici
C4,#d4d4d4,P5,Serious2,aici
C4,#ddd8ba,P2,Exciting3,alasg
C4,#ddd8ba,P2,Trustworthy3,alasg
C4,#ddd8ba,P4,Serious2,alasg
C4,#ddd8ba,P5,Exciting3,alasg
C4,#dfb0c7,P1,Playful2,aldceid
C4,#add9a1,P4,Negative3,akiq
C4,#dfb0c7,P5,Exciting2,aldceid
C4,#eac793,P1,Trustworthy2,alj
C4,#eac793,P2,Serious3,alj
C4,#eac793,P3,Playful3,alj
C4,#eac793,P3,Positive2,alj
C4,#eac793,P4,Calm1,alj
C4,#f1d9ca,P1,Calm1,acbstb
C4,#f1d9ca,P4,Trustworthy3,acbstb
C4,#f80f19,P1,Playful1,amvb
C4,#f80f19,P2,Calm3,amvb
C4,#f80f19,P3,Playful1,amvb
C4,#f80f19,P5,Calm3,amvb
C4,#f80f19,P5,Exciting1,amvb
C4,#f9468c,P1,Calm3,anau
C4,#f9468c,P1,Disturbing2,anau
C4,#f9468c,P1,Positive1,anau
C4,#f9468c,P3,Calm3,anau
C4,#f9468c,P3,Serious3,anau
C4,#f9468c,P5,Calm2,anau
C4,#ff8000,P2,Positive1,aijqmq
C4,#ff8000,P3,Positive1,aijqmq
C4,#ff8000,P4,Playful1,aijqmq
C4,#ff8000,P4,Trustworthy2,aijqmq
C4,#ff8000,P5,Playful1,aijqmq
C4,#ff8000,P5,Trustworthy2,aijqmq
C4,#ffab1c,P2,Playful1,bab
C5,#478f8d,P4,Negative3,aeoabft
C4,#ffab1c,P4,Exciting1,bab
C5,#00beb9,P1,Playful1,a
C5,#00beb9,P2,Positive1,a
C5,#00beb9,P4,Serious3,a
C5,#00beb9,P4,Trustworthy3,a
C5,#1b4c79,P2,Serious1,aafes
C5,#1b4c79,P4,Exciting3,aafes
C5,#3c3c3c,P2,Exciting3,aax
C5,#3c3c3c,P2,Trustworthy2,aax
C1,#3c3c3c,P5,Negative1,aax
C5,#5a922d,P4,Positive1,accykvo
C5,#6e746a,P1,Playful2,bbb
C5,#6e746a,P1,Trustworthy3,bbb
C5,#6e746a,P2,Calm1,bbb
C5,#6e746a,P3,Exciting1,bbb
C5,#6e746a,P3,Exciting3,bbb
C5,#6e746a,P4,Positive3,bbb
C5,#8ad2f1,P1,Positive1,acjjzgte
C5,#8ad2f1,P1,Trustworthy1,acjjzgte
C5,#23bf0c,P5,Exciting1,acjl
C2,#69301d,P5,Negative1,aaznxc
C5,#32bff2,P3,Playful1,adwfemsg
C5,#32bff2,P3,Positive1,adwfemsg
