id,source,target,weight
#23bf0c#f3d02d,#23bf0c,#f3d02d,8
#f64389#fc1a00,#f64389,#fc1a00,8
#40c9ff#f64389,#40c9ff,#f64389,9
#23bf0c#40c9ff,#23bf0c,#40c9ff,9
#40c9ff#f3d02d,#40c9ff,#f3d02d,9
#23bf0c#f64389,#23bf0c,#f64389,10
#f3d02d#f64389,#f3d02d,#f64389,11
#23bf0c#f3d02d,#23bf0c,#f3d02d,11
#40c9ff#f64389,#40c9ff,#f64389,12
#23bf0c#f64389,#23bf0c,#f64389,14
#f3d02d#f64389,#f3d02d,#f64389,16
